id,name,campaign_id,status,targeting,optimization_goal,billing_event,bid_amount,budget_remaining,attribution_spec,start_time,countries,age_min,age_max,genders,custom_audiences,excluded_custom_audiences,daily_budget,lifetime_budget
23849302854290177,Auto - TOF - US + UK  #Stack,23849302854210177,ACTIVE,"{'age_max': 65, 'age_min': 25, 'excluded_product_audience_specs': [{'product_set_id': '333630574910555', 'inclusions': [{'retention_seconds': '7776000', 'rule': '{""event"":{""eq"":""Purchase""}}'}]}], 'flexible_spec': [{'interests': [{'id': '6002891255222', 'name': 'Modern art'}, {'id': '6002989694968', 'name': 'Visual arts'}, {'id': '6003011521797', 'name': 'Contemporary art'}, {'id': '6003138984339', 'name': 'Art glass'}, {'id': '6003289482743', 'name': 'Glass'}]}], 'geo_locations': {'countries': ['US', 'GB'], 'location_types': ['home']}, 'targeting_optimization': 'none', 'publisher_platforms': ['facebook', 'instagram', 'audience_network'], 'facebook_positions': ['feed', 'right_hand_column', 'marketplace', 'story'], 'instagram_positions': ['stream', 'story', 'explore']}",OFFSITE_CONVERSIONS,IMPRESSIONS,10000.0,0,"[{'event_type': 'CLICK_THROUGH', 'window_days': 7}, {'event_type': 'VIEW_THROUGH', 'window_days': 1}]",2021-10-26T08:33:27-0400,"['US', 'GB']",25,65,[],[],[],,
23849302854200177,Auto - TOF - US + UK  #Stack - ON,23849302854210177,ACTIVE,"{'age_max': 65, 'age_min': 25, 'excluded_product_audience_specs': [{'product_set_id': '333630574910555', 'inclusions': [{'retention_seconds': '7776000', 'rule': '{""event"":{""eq"":""Purchase""}}'}]}], 'flexible_spec': [{'interests': [{'id': '6002891255222', 'name': 'Modern art'}, {'id': '6002989694968', 'name': 'Visual arts'}, {'id': '6003011521797', 'name': 'Contemporary art'}, {'id': '6003138984339', 'name': 'Art glass'}, {'id': '6003289482743', 'name': 'Glass'}]}], 'geo_locations': {'countries': ['US', 'GB'], 'location_types': ['home']}, 'targeting_optimization': 'none', 'publisher_platforms': ['facebook', 'instagram', 'audience_network'], 'facebook_positions': ['feed', 'right_hand_column', 'marketplace', 'story'], 'instagram_positions': ['stream', 'story', 'explore']}",OFFSITE_CONVERSIONS,IMPRESSIONS,10000.0,0,"[{'event_type': 'CLICK_THROUGH', 'window_days': 7}, {'event_type': 'VIEW_THROUGH', 'window_days': 1}]",2021-10-26T08:33:28-0400,"['US', 'GB']",25,65,[],[],[],,
23849302775990177,Feeds - TOF - US - #Stack,23849302775960177,ACTIVE,"{'age_max': 65, 'age_min': 45, 'excluded_product_audience_specs': [{'product_set_id': '333630574910555', 'inclusions': [{'retention_seconds': '7776000', 'rule': '{""event"":{""eq"":""Purchase""}}'}]}], 'flexible_spec': [{'interests': [{'id': '6002891255222', 'name': 'Modern art'}, {'id': '6002892294422', 'name': 'Art museum'}, {'id': '6002968344968', 'name': 'Watercolor painting'}, {'id': '6002989694968', 'name': 'Visual arts'}, {'id': '6003011521797', 'name': 'Contemporary art'}, {'id': '6003142974961', 'name': 'Painting'}, {'id': '6003174397615', 'name': 'Art exhibition'}, {'id': '6003194056672', 'name': 'Fine art'}, {'id': '6003202995072', 'name': 'Acrylic paint'}, {'id': '6003253515082', 'name': 'Abstract art'}, {'id': '6003287590941', 'name': 'Contemporary art gallery'}, {'id': '6003648317438', 'name': 'Oil painting'}, {'id': '6003708639146', 'name': 'Paint'}, {'id': '6003780025252', 'name': 'Drawing'}]}], 'genders': [2], 'geo_locations': {'countries': ['US'], 'location_types': ['home']}, 'targeting_optimization': 'expansion_all', 'publisher_platforms': ['facebook', 'instagram'], 'facebook_positions': ['feed', 'right_hand_column', 'video_feeds', 'marketplace'], 'instagram_positions': ['stream', 'explore', 'shop']}",OFFSITE_CONVERSIONS,IMPRESSIONS,,0,"[{'event_type': 'CLICK_THROUGH', 'window_days': 7}, {'event_type': 'VIEW_THROUGH', 'window_days': 1}]",2021-10-26T08:08:25-0400,['US'],45,65,[2],[],[],,
23849302775970177,Feeds - TOF - UK - #Stack,23849302775960177,ACTIVE,"{'age_max': 65, 'age_min': 45, 'excluded_product_audience_specs': [{'product_set_id': '333630574910555', 'inclusions': [{'retention_seconds': '7776000', 'rule': '{""event"":{""eq"":""Purchase""}}'}]}], 'flexible_spec': [{'interests': [{'id': '6002891255222', 'name': 'Modern art'}, {'id': '6002892294422', 'name': 'Art museum'}, {'id': '6002968344968', 'name': 'Watercolor painting'}, {'id': '6002989694968', 'name': 'Visual arts'}, {'id': '6003011521797', 'name': 'Contemporary art'}, {'id': '6003142974961', 'name': 'Painting'}, {'id': '6003174397615', 'name': 'Art exhibition'}, {'id': '6003194056672', 'name': 'Fine art'}, {'id': '6003202995072', 'name': 'Acrylic paint'}, {'id': '6003253515082', 'name': 'Abstract art'}, {'id': '6003287590941', 'name': 'Contemporary art gallery'}, {'id': '6003648317438', 'name': 'Oil painting'}, {'id': '6003708639146', 'name': 'Paint'}, {'id': '6003780025252', 'name': 'Drawing'}]}], 'genders': [2], 'geo_locations': {'countries': ['GB'], 'location_types': ['home']}, 'targeting_optimization': 'expansion_all', 'publisher_platforms': ['facebook', 'instagram'], 'facebook_positions': ['feed', 'right_hand_column', 'video_feeds', 'marketplace'], 'instagram_positions': ['stream', 'explore', 'shop']}",OFFSITE_CONVERSIONS,IMPRESSIONS,,0,"[{'event_type': 'CLICK_THROUGH', 'window_days': 7}, {'event_type': 'VIEW_THROUGH', 'window_days': 1}]",2021-10-26T08:08:25-0400,['GB'],45,65,[2],[],[],,
23849282636990177,Auto - TOF - US + UK,23849184290380177,ACTIVE,"{'age_max': 65, 'age_min': 25, 'geo_locations': {'countries': ['US', 'GB'], 'location_types': ['home']}, 'targeting_optimization': 'none'}",OFFSITE_CONVERSIONS,IMPRESSIONS,,0,"[{'event_type': 'CLICK_THROUGH', 'window_days': 7}]",2021-10-26T08:33:27-0400,"['US', 'GB']",25,65,[],[],[],,
23849282443200177,Feeds - TOF - UK - #Stack,23849282436190177,ACTIVE,"{'age_max': 65, 'age_min': 25, 'excluded_product_audience_specs': [{'product_set_id': '333630574910555', 'inclusions': [{'retention_seconds': '7776000', 'rule': '{""event"":{""eq"":""Purchase""}}'}]}], 'flexible_spec': [{'interests': [{'id': '6002891255222', 'name': 'Modern art'}, {'id': '6002989694968', 'name': 'Visual arts'}, {'id': '6003011521797', 'name': 'Contemporary art'}, {'id': '6003138984339', 'name': 'Art glass'}, {'id': '6003289482743', 'name': 'Glass'}]}], 'geo_locations': {'countries': ['GB'], 'location_types': ['home']}, 'targeting_optimization': 'none', 'publisher_platforms': ['facebook', 'instagram'], 'facebook_positions': ['feed', 'right_hand_column', 'video_feeds', 'marketplace'], 'instagram_positions': ['stream', 'explore', 'shop']}",OFFSITE_CONVERSIONS,IMPRESSIONS,,3500,"[{'event_type': 'CLICK_THROUGH', 'window_days': 7}, {'event_type': 'VIEW_THROUGH', 'window_days': 1}]",2021-10-24T03:19:58-0400,['GB'],25,65,[],[],[],3500,0
23849282436300177,Feeds - TOF - US - #Stack,23849282436190177,ACTIVE,"{'age_max': 65, 'age_min': 25, 'excluded_product_audience_specs': [{'product_set_id': '333630574910555', 'inclusions': [{'retention_seconds': '7776000', 'rule': '{""event"":{""eq"":""Purchase""}}'}]}], 'flexible_spec': [{'interests': [{'id': '6002891255222', 'name': 'Modern art'}, {'id': '6002989694968', 'name': 'Visual arts'}, {'id': '6003011521797', 'name': 'Contemporary art'}, {'id': '6003138984339', 'name': 'Art glass'}, {'id': '6003289482743', 'name': 'Glass'}]}], 'geo_locations': {'countries': ['US'], 'location_types': ['home']}, 'targeting_optimization': 'none', 'publisher_platforms': ['facebook', 'instagram'], 'facebook_positions': ['feed', 'right_hand_column', 'video_feeds', 'marketplace'], 'instagram_positions': ['stream', 'explore', 'shop']}",OFFSITE_CONVERSIONS,IMPRESSIONS,,3500,"[{'event_type': 'CLICK_THROUGH', 'window_days': 7}, {'event_type': 'VIEW_THROUGH', 'window_days': 1}]",2021-10-24T03:19:58-0400,['US'],25,65,[],[],[],3500,0
23849282422540177,Auto - TOF - US + UK  #Stack,23849115788210177,PAUSED,"{'age_max': 65, 'age_min': 25, 'excluded_product_audience_specs': [{'product_set_id': '333630574910555', 'inclusions': [{'retention_seconds': '7776000', 'rule': '{""event"":{""eq"":""Purchase""}}'}]}], 'flexible_spec': [{'interests': [{'id': '6002891255222', 'name': 'Modern art'}, {'id': '6002989694968', 'name': 'Visual arts'}, {'id': '6003011521797', 'name': 'Contemporary art'}, {'id': '6003138984339', 'name': 'Art glass'}, {'id': '6003289482743', 'name': 'Glass'}]}], 'geo_locations': {'countries': ['US', 'GB'], 'location_types': ['home']}, 'targeting_optimization': 'none', 'publisher_platforms': ['facebook', 'instagram', 'audience_network'], 'facebook_positions': ['feed', 'right_hand_column', 'marketplace', 'story'], 'instagram_positions': ['stream', 'story', 'explore'], 'audience_network_positions': ['classic']}",OFFSITE_CONVERSIONS,IMPRESSIONS,7000.0,0,"[{'event_type': 'CLICK_THROUGH', 'window_days': 7}]",2021-10-24T03:14:06-0400,"['US', 'GB']",25,65,[],[],[],,
23849282390900177,Auto - #Best preform Stack - Women 25+ - Copy,23849282390860177,ACTIVE,"{'age_max': 65, 'age_min': 25, 'flexible_spec': [{'interests': [{'id': '6003019539929', 'name': 'Gift'}, {'id': '6003031649055', 'name': 'Glass art'}, {'id': '6003142974961', 'name': 'Painting'}, {'id': '6003273071999', 'name': 'Unique Gifts'}, {'id': '6003523650770', 'name': 'Color printing'}], 'family_statuses': [{'id': '6023005681983', 'name': 'Parents with teenagers (13-17 years)'}], 'life_events': [{'id': '6203620854183', 'name': 'Friends of people with birthdays in a month'}]}], 'genders': [2], 'geo_locations': {'countries': ['US', 'GB'], 'location_types': ['home']}, 'locales': [24, 6], 'targeting_optimization': 'expansion_all', 'brand_safety_content_filter_levels': ['FACEBOOK_STANDARD', 'AN_STANDARD']}",OFFSITE_CONVERSIONS,IMPRESSIONS,,0,"[{'event_type': 'CLICK_THROUGH', 'window_days': 7}, {'event_type': 'VIEW_THROUGH', 'window_days': 1}]",2021-10-24T03:02:24-0400,"['US', 'GB']",25,65,[2],[],[],,
23849252555880177,Auto - #Best preform Stack - Women 25+,23849252555870177,ACTIVE,"{'age_max': 65, 'age_min': 25, 'flexible_spec': [{'interests': [{'id': '6003019539929', 'name': 'Gift'}, {'id': '6003031649055', 'name': 'Glass art'}, {'id': '6003142974961', 'name': 'Painting'}, {'id': '6003273071999', 'name': 'Unique Gifts'}, {'id': '6003523650770', 'name': 'Color printing'}], 'family_statuses': [{'id': '6023005681983', 'name': 'Parents with teenagers (13-17 years)'}], 'life_events': [{'id': '6203620854183', 'name': 'Friends of people with birthdays in a month'}]}], 'genders': [2], 'geo_locations': {'countries': ['US', 'GB'], 'location_types': ['home']}, 'locales': [24, 6], 'targeting_optimization': 'expansion_all', 'brand_safety_content_filter_levels': ['FACEBOOK_STANDARD', 'AN_STANDARD']}",OFFSITE_CONVERSIONS,IMPRESSIONS,,0,"[{'event_type': 'CLICK_THROUGH', 'window_days': 1}]",2021-10-20T03:43:59-0400,"['US', 'GB']",25,65,[2],[],[],,
23849252555850177,Auto - #Best preform Stack - Women 25+ - Carousel,23849252555870177,ACTIVE,"{'age_max': 65, 'age_min': 25, 'flexible_spec': [{'interests': [{'id': '6003019539929', 'name': 'Gift'}, {'id': '6003031649055', 'name': 'Glass art'}, {'id': '6003142974961', 'name': 'Painting'}, {'id': '6003273071999', 'name': 'Unique Gifts'}, {'id': '6003523650770', 'name': 'Color printing'}], 'family_statuses': [{'id': '6023005681983', 'name': 'Parents with teenagers (13-17 years)'}], 'life_events': [{'id': '6203620854183', 'name': 'Friends of people with birthdays in a month'}]}], 'genders': [2], 'geo_locations': {'countries': ['US', 'GB'], 'location_types': ['home']}, 'locales': [24, 6], 'targeting_optimization': 'expansion_all', 'brand_safety_content_filter_levels': ['FACEBOOK_STANDARD', 'AN_STANDARD']}",OFFSITE_CONVERSIONS,IMPRESSIONS,,0,"[{'event_type': 'CLICK_THROUGH', 'window_days': 1}]",2021-10-20T03:43:58-0400,"['US', 'GB']",25,65,[2],[],[],,
23849229939720177,Auto - TOF - US + UK  #Painting,23849184290380177,PAUSED,"{'age_max': 65, 'age_min': 25, 'flexible_spec': [{'interests': [{'id': '6003142974961', 'name': 'Painting'}]}], 'geo_locations': {'countries': ['US', 'GB'], 'location_types': ['home']}, 'targeting_optimization': 'none'}",OFFSITE_CONVERSIONS,IMPRESSIONS,,0,"[{'event_type': 'CLICK_THROUGH', 'window_days': 7}]",2021-10-18T03:11:09-0400,"['US', 'GB']",25,65,[],[],[],,
23849229853010177,IG Feed - #Best preform Stack - Women 30+,23849229847770177,ACTIVE,"{'age_max': 65, 'age_min': 30, 'flexible_spec': [{'interests': [{'id': '6003019539929', 'name': 'Gift'}, {'id': '6003031649055', 'name': 'Glass art'}, {'id': '6003142974961', 'name': 'Painting'}, {'id': '6003273071999', 'name': 'Unique Gifts'}, {'id': '6003523650770', 'name': 'Color printing'}], 'family_statuses': [{'id': '6023005681983', 'name': 'Parents with teenagers (13-17 years)'}], 'life_events': [{'id': '6203620854183', 'name': 'Friends of people with birthdays in a month'}]}], 'genders': [2], 'geo_locations': {'countries': ['US', 'GB'], 'location_types': ['home']}, 'locales': [24, 6], 'targeting_optimization': 'expansion_all', 'publisher_platforms': ['instagram'], 'instagram_positions': ['stream', 'explore', 'shop'], 'device_platforms': ['mobile', 'desktop']}",OFFSITE_CONVERSIONS,IMPRESSIONS,,0,"[{'event_type': 'CLICK_THROUGH', 'window_days': 7}, {'event_type': 'VIEW_THROUGH', 'window_days': 1}]",2021-10-18T03:05:12-0400,"['US', 'GB']",30,65,[2],[],[],,
23849229847820177,FB Feed - #Best preform Stack - Women 30+,23849229847770177,ACTIVE,"{'age_max': 65, 'age_min': 30, 'flexible_spec': [{'interests': [{'id': '6003019539929', 'name': 'Gift'}, {'id': '6003031649055', 'name': 'Glass art'}, {'id': '6003142974961', 'name': 'Painting'}, {'id': '6003273071999', 'name': 'Unique Gifts'}, {'id': '6003523650770', 'name': 'Color printing'}], 'family_statuses': [{'id': '6023005681983', 'name': 'Parents with teenagers (13-17 years)'}], 'life_events': [{'id': '6203620854183', 'name': 'Friends of people with birthdays in a month'}]}], 'genders': [2], 'geo_locations': {'countries': ['US', 'GB'], 'location_types': ['home']}, 'locales': [24, 6], 'targeting_optimization': 'none', 'brand_safety_content_filter_levels': ['FACEBOOK_STANDARD'], 'publisher_platforms': ['facebook'], 'facebook_positions': ['feed', 'groups_feed', 'right_hand_column', 'video_feeds', 'instant_article', 'marketplace', 'search'], 'device_platforms': ['mobile', 'desktop']}",OFFSITE_CONVERSIONS,IMPRESSIONS,,0,"[{'event_type': 'CLICK_THROUGH', 'window_days': 7}, {'event_type': 'VIEW_THROUGH', 'window_days': 1}]",2021-10-18T03:05:12-0400,"['US', 'GB']",30,65,[2],[],[],,
23849184290490177,Auto - TOF - US + UK  #Broad,23849184290380177,PAUSED,"{'age_max': 65, 'age_min': 25, 'geo_locations': {'countries': ['US', 'GB'], 'location_types': ['home']}, 'targeting_optimization': 'none'}",OFFSITE_CONVERSIONS,IMPRESSIONS,,0,"[{'event_type': 'CLICK_THROUGH', 'window_days': 7}]",2021-10-12T08:00:44-0400,"['US', 'GB']",25,65,[],[],[],,
23849173481850177,Auto - LLA 5% - VV 10Sec 365D,23849173475870177,ACTIVE,"{'age_max': 65, 'age_min': 40, 'excluded_custom_audiences': [{'id': '23848874448390177', 'name': 'BP - PUR 30D'}], 'custom_audiences': [{'id': '23849173482140177', 'name': 'Lookalike (US, 5%) - BP - VV 10Sec 365D'}], 'geo_locations': {'countries': ['US'], 'location_types': ['home']}, 'locales': [24, 6], 'targeting_optimization': 'expansion_all', 'brand_safety_content_filter_levels': ['FACEBOOK_STANDARD', 'AN_STANDARD']}",OFFSITE_CONVERSIONS,IMPRESSIONS,,0,"[{'event_type': 'CLICK_THROUGH', 'window_days': 7}, {'event_type': 'VIEW_THROUGH', 'window_days': 1}]",2021-10-11T04:31:46-0400,['US'],40,65,[],"['Lookalike (US, 5%) - BP - VV 10Sec 365D']",['BP - PUR 30D'],,
23849173475880177,Auto - LLA 5% - Top 25%,23849173475870177,ACTIVE,"{'age_max': 65, 'age_min': 40, 'excluded_custom_audiences': [{'id': '23848874448390177', 'name': 'BP - PUR 30D'}], 'custom_audiences': [{'id': '23849173481420177', 'name': 'Lookalike (US, 5%) - BP - TOP 25% 180D'}], 'geo_locations': {'countries': ['US'], 'location_types': ['home']}, 'locales': [24, 6], 'targeting_optimization': 'expansion_all', 'brand_safety_content_filter_levels': ['FACEBOOK_STANDARD', 'AN_STANDARD']}",OFFSITE_CONVERSIONS,IMPRESSIONS,,0,"[{'event_type': 'CLICK_THROUGH', 'window_days': 7}, {'event_type': 'VIEW_THROUGH', 'window_days': 1}]",2021-10-11T04:31:47-0400,['US'],40,65,[],"['Lookalike (US, 5%) - BP - TOP 25% 180D']",['BP - PUR 30D'],,
23849138910850177,Auto - MOF + BOF - Stack,23849138910870177,ACTIVE,"{'age_max': 65, 'age_min': 40, 'excluded_custom_audiences': [{'id': '23848874448390177', 'name': 'BP - PUR 30D'}], 'custom_audiences': [{'id': '23848874419150177', 'name': 'BP - WV 30D'}, {'id': '23848874426160177', 'name': 'BP - TOP 25% 180D'}, {'id': '23848874428740177', 'name': 'BP - VC >3 180D'}, {'id': '23848874431900177', 'name': 'BP - ATC 180D'}, {'id': '23848874442360177', 'name': 'BP - IC 180D'}, {'id': '23848874445850177', 'name': 'BP - PUR 180D'}, {'id': '23848874455790177', 'name': 'BP - VV 10Sec 365D'}, {'id': '23848874456540177', 'name': 'BP - FB ENG 365D'}, {'id': '23848874457590177', 'name': 'BP - IG  ENG 365D'}], 'geo_locations': {'countries': ['US'], 'location_types': ['home']}, 'locales': [24, 6], 'targeting_optimization': 'expansion_all', 'brand_safety_content_filter_levels': ['FACEBOOK_STANDARD', 'AN_STANDARD']}",OFFSITE_CONVERSIONS,IMPRESSIONS,,0,"[{'event_type': 'CLICK_THROUGH', 'window_days': 7}, {'event_type': 'VIEW_THROUGH', 'window_days': 1}]",2021-10-06T11:14:32-0400,['US'],40,65,[],"['BP - WV 30D', 'BP - TOP 25% 180D', 'BP - VC >3 180D', 'BP - ATC 180D', 'BP - IC 180D', 'BP - PUR 180D', 'BP - VV 10Sec 365D', 'BP - FB ENG 365D', 'BP - IG  ENG 365D']",['BP - PUR 30D'],,
23849126978130177,Prospective Audience - All - 333630574910555 - Copy,23849126977870177,ACTIVE,"{'age_max': 65, 'age_min': 25, 'geo_locations': {'countries': ['US', 'GB'], 'location_types': ['home']}, 'targeting_optimization': 'expansion_all', 'publisher_platforms': ['facebook', 'instagram', 'audience_network'], 'facebook_positions': ['feed', 'right_hand_column', 'marketplace', 'story'], 'instagram_positions': ['stream', 'story', 'explore'], 'device_platforms': ['mobile', 'desktop'], 'audience_network_positions': ['classic', 'instream_video', 'rewarded_video']}",OFFSITE_CONVERSIONS,IMPRESSIONS,,0,"[{'event_type': 'CLICK_THROUGH', 'window_days': 7}, {'event_type': 'VIEW_THROUGH', 'window_days': 1}]",2021-10-05T04:12:23-0400,"['US', 'GB']",25,65,[],[],[],,
23849126978120177,Prospective Audience - Women - 222004113098515 - Copy,23849126977870177,PAUSED,"{'age_max': 65, 'age_min': 45, 'genders': [2], 'geo_locations': {'countries': ['US', 'GB'], 'location_types': ['home']}, 'locales': [24, 6], 'targeting_optimization': 'expansion_all', 'publisher_platforms': ['facebook', 'instagram', 'audience_network'], 'facebook_positions': ['feed', 'right_hand_column', 'marketplace', 'story'], 'instagram_positions': ['stream', 'story', 'explore'], 'device_platforms': ['mobile', 'desktop'], 'audience_network_positions': ['classic', 'instream_video', 'rewarded_video']}",OFFSITE_CONVERSIONS,IMPRESSIONS,,0,"[{'event_type': 'CLICK_THROUGH', 'window_days': 7}, {'event_type': 'VIEW_THROUGH', 'window_days': 1}]",2021-10-05T04:12:29-0400,"['US', 'GB']",45,65,[2],[],[],,
23849126978110177,Auto - #Best preform Stack - Women 30+ - Copy,23849126977870177,PAUSED,"{'age_max': 65, 'age_min': 30, 'flexible_spec': [{'interests': [{'id': '6003019539929', 'name': 'Gift'}, {'id': '6003031649055', 'name': 'Glass art'}, {'id': '6003142974961', 'name': 'Painting'}, {'id': '6003273071999', 'name': 'Unique Gifts'}, {'id': '6003523650770', 'name': 'Color printing'}], 'family_statuses': [{'id': '6023005681983', 'name': 'Parents with teenagers (13-17 years)'}], 'life_events': [{'id': '6203620854183', 'name': 'Friends of people with birthdays in a month'}]}], 'genders': [2], 'geo_locations': {'countries': ['US'], 'location_types': ['home']}, 'locales': [24, 6], 'targeting_optimization': 'expansion_all'}",OFFSITE_CONVERSIONS,IMPRESSIONS,,0,"[{'event_type': 'CLICK_THROUGH', 'window_days': 7}, {'event_type': 'VIEW_THROUGH', 'window_days': 1}]",2021-10-05T04:12:31-0400,['US'],30,65,[2],[],[],,
23849126978100177,Warm Visitors - All - Copy,23849126977870177,PAUSED,"{'age_max': 65, 'age_min': 25, 'geo_locations': {'countries': ['US', 'GB'], 'location_types': ['home']}, 'targeting_optimization': 'expansion_all', 'publisher_platforms': ['facebook', 'instagram', 'audience_network'], 'facebook_positions': ['feed', 'right_hand_column', 'marketplace', 'story'], 'instagram_positions': ['stream', 'story', 'explore']}",OFFSITE_CONVERSIONS,IMPRESSIONS,,0,"[{'event_type': 'CLICK_THROUGH', 'window_days': 7}, {'event_type': 'VIEW_THROUGH', 'window_days': 1}]",2021-10-05T04:12:23-0400,"['US', 'GB']",25,65,[],[],[],,
23849126978050177,Top Customers Combo - Women - Copy,23849126977870177,PAUSED,"{'age_max': 65, 'age_min': 45, 'genders': [2], 'geo_locations': {'countries': ['US', 'GB'], 'location_types': ['home']}, 'locales': [24, 6], 'targeting_optimization': 'expansion_all', 'publisher_platforms': ['facebook', 'instagram', 'audience_network'], 'facebook_positions': ['feed', 'right_hand_column', 'marketplace', 'story'], 'instagram_positions': ['stream', 'story', 'explore']}",OFFSITE_CONVERSIONS,IMPRESSIONS,,0,"[{'event_type': 'CLICK_THROUGH', 'window_days': 7}, {'event_type': 'VIEW_THROUGH', 'window_days': 1}]",2021-10-05T04:12:25-0400,"['US', 'GB']",45,65,[2],[],[],,
23849121767280177,Auto - #Best preform Stack - Women 25+,23849121737310177,PAUSED,"{'age_max': 65, 'age_min': 25, 'flexible_spec': [{'interests': [{'id': '6003019539929', 'name': 'Gift'}, {'id': '6003031649055', 'name': 'Glass art'}, {'id': '6003142974961', 'name': 'Painting'}, {'id': '6003273071999', 'name': 'Unique Gifts'}, {'id': '6003523650770', 'name': 'Color printing'}], 'family_statuses': [{'id': '6023005681983', 'name': 'Parents with teenagers (13-17 years)'}], 'life_events': [{'id': '6203620854183', 'name': 'Friends of people with birthdays in a month'}]}], 'genders': [2], 'geo_locations': {'countries': ['US', 'GB'], 'location_types': ['home']}, 'locales': [24, 6], 'targeting_optimization': 'expansion_all', 'brand_safety_content_filter_levels': ['FACEBOOK_STANDARD', 'AN_STANDARD']}",OFFSITE_CONVERSIONS,IMPRESSIONS,,0,"[{'event_type': 'CLICK_THROUGH', 'window_days': 7}, {'event_type': 'VIEW_THROUGH', 'window_days': 1}]",2021-10-04T06:09:44-0400,"['US', 'GB']",25,65,[2],[],[],,
